Timestamp,Event,Details,Capital
2025-05-02T13:08:55.349Z,Start,"Creato file /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_1m.json",10000.00
2025-05-02T13:08:55.351Z,Start,"Caricate 1000 candele 1m",10000.00
2025-05-02T13:08:55.351Z,Start,"Avvio backtest",10000.00
2025-05-02T13:08:55.354Z,Start,"Copiato storico in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_1m.json",10000.00
2025-05-02T13:08:55.356Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.357Z,Error,"Strategia: Cannot read properties of undefined (reading 'lastVolume')",10000.00
2025-05-02T13:08:55.357Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.358Z,Signal,"CVD check, prevVolume=-22.08, currVolume=2.00",10000.00
2025-05-02T13:08:55.358Z,Signal,"Bullish CVD su TF 3m, lastVolume=2.00",10000.00
2025-05-02T13:08:55.358Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
2025-05-02T13:08:55.358Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-05-02T13:08:55.359Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.359Z,Signal,"CVD check, prevVolume=2.00, currVolume=12.82",10000.00
2025-05-02T13:08:55.359Z,Signal,"Nessun CVD, prevVolume=2.00, currVolume=12.82",10000.00
2025-05-02T13:08:55.359Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
2025-05-02T13:08:55.359Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-05-02T13:08:55.360Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.360Z,Signal,"CVD check, prevVolume=12.82, currVolume=-43.91",10000.00
2025-05-02T13:08:55.360Z,Signal,"Bearish CVD su TF 3m, lastVolume=-43.91",10000.00
2025-05-02T13:08:55.360Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
2025-05-02T13:08:55.360Z,FVG,"Bearish confermato, top=96666.00, bottom=96647.80, size=18.20",10000.00
2025-05-02T13:08:55.360Z,FVG,"Bearish confermato, top=96666.00, bottom=96647.80, size=18.20",10000.00
2025-05-02T13:08:55.360Z,Error,"Entrata saltata: slDistance non valido (0)",10000.00
2025-05-02T13:08:55.361Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.361Z,Signal,"CVD check, prevVolume=-43.91, currVolume=-240.15",10000.00
2025-05-02T13:08:55.361Z,Signal,"Nessun CVD, prevVolume=-43.91, currVolume=-240.15",10000.00
2025-05-02T13:08:55.361Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
